代號,名稱,市場,收盤價,漲跌幅%,成交張數,振幅%,均價,當沖評分
4916,事欣科,上市,98.8,9.9,46915,13.13,93.85,46.72
8040,九暘,上櫃,108.5,9.93,9305,12.36,101.83,44.38
6742,澤米,上市,61.7,9.98,10790,11.76,59.03,43.33
2401,凌陽,上市,29.55,9.85,47782,10.41,28.32,41.21
3441,聯一光,上櫃,52.9,9.87,10888,10.38,51.0,40.41
2355,敬鵬,上市,65.0,9.98,50817,9.81,62.19,40.24
3031,佰鴻,上市,33.6,9.98,15829,9.98,32.87,39.97
2515,中工,上市,13.85,9.92,20276,9.92,13.33,39.89
3176,基亞,上櫃,39.7,6.58,1738,12.75,39.05,39.26
3490,單井,上櫃,40.7,10.0,6974,9.73,39.21,39.07
1727,中華化,上市,93.0,9.93,23469,9.34,90.9,38.82
2324,仁寶,上市,30.35,9.96,113948,8.88,29.64,38.77
6209,今國光,上市,86.7,9.89,52264,9.13,83.55,38.76
2464,盟立,上市,136.0,9.24,28460,9.64,132.4,38.49
2489,瑞軒,上市,46.8,9.99,97194,8.46,45.73,37.89
6207,雷科,上櫃,88.7,9.91,18661,8.92,85.92,37.83
1717,長興,上市,79.7,9.63,58611,8.8,78.76,37.77
5291,邑昇,上櫃,78.8,9.9,3585,9.21,76.86,37.54
8289,泰藝,上櫃,60.8,9.95,10326,8.86,59.54,37.46
2491,吉祥全,上市,21.7,9.87,1369,9.37,21.34,37.31
1595,川寶,上櫃,97.5,9.92,1234,9.36,94.02,37.31
4949,有成精密,上市,96.0,9.97,3330,9.05,93.06,37.28
2241,艾姆勒,上市,36.9,9.99,3783,8.94,36.51,37.16
4555,氣立,上市,46.6,9.91,2255,8.96,45.91,36.81
6151,晉倫,上櫃,46.55,9.92,2029,8.97,46.06,36.79
6116,彩晶,上市,10.8,9.64,86611,8.12,10.7,36.63
3141,晶宏,上櫃,71.3,9.86,3728,8.63,70.0,36.34
3714,富采,上市,74.0,9.79,46260,8.01,73.09,36.3
6456,GIS-KY,上市,69.9,9.91,10396,8.18,68.48,36.05
5328,華容,上櫃,33.95,9.87,33315,7.77,33.09,35.77
3481,群創,上市,40.6,9.88,524601,7.04,39.89,35.76
6411,晶焱,上櫃,94.6,10.0,3187,8.26,91.75,35.72
2426,鼎元,上市,75.7,9.87,4140,8.27,74.3,35.69
6237,驊訊,上櫃,53.4,9.99,7113,7.83,52.29,35.27
5243,乙盛-KY,上市,112.0,7.18,15511,9.57,112.05,34.94
1721,三晃,上市,29.9,6.79,9103,10.0,30.27,34.94
6821,聯寶,上櫃,57.2,10.0,1270,8.08,56.15,34.88
6155,鈞寶,上市,59.4,6.26,28328,10.02,58.83,34.77
4960,誠美材,上市,36.45,9.95,14574,7.39,35.95,34.7
8039,台虹,上市,139.0,9.88,7976,7.51,136.07,34.52
3025,星通,上市,64.6,9.12,1337,8.45,63.04,34.33
6485,點序,上櫃,104.5,-6.7,5157,9.82,108.45,34.14
6432,今展科,上櫃,56.9,7.97,7878,8.73,56.32,34.09
2388,威盛,上市,86.0,5.26,42512,10.28,83.93,34.0
3702,大聯大,上市,123.5,3.78,43255,11.34,123.41,33.91
8043,蜜望實,上櫃,125.5,9.61,27108,6.99,123.61,33.71
2409,友達,上市,20.2,7.73,367725,7.47,20.09,33.21
2495,普安,上市,40.65,8.4,10735,7.87,39.59,33.18
2465,麗臺,上市,83.1,9.92,2750,7.01,82.65,33.03
1605,華新,上市,35.5,7.25,61994,7.85,35.6,32.33
