代號,名稱,收盤,漲跌,開盤,最高,最低,成交股數,成交金額(元),成交筆數,市場
00679B,元大美債20年,26.22,+0.14,26.26,26.29,26.22,"29,854,000","783,736,460","2,995",上櫃
00687B,國泰20年美債,27.25,+0.13,27.28,27.33,27.25,"17,576,000","479,580,180","1,960",上櫃
00687C,國泰20年美債+櫃U,9.10,+0.07,9.10,9.10,9.10,"25,000","227,500",2,上櫃
00694B,富邦美債1-3,41.52,-0.12,41.39,41.54,41.39,"325,000","13,495,780",26,上櫃
00695B,富邦美債7-10,34.80,+0.05,34.69,34.83,34.69,"129,000","4,488,060",18,上櫃
00696B,富邦美債20年,28.27,+0.12,28.26,28.37,28.26,"2,754,000","77,988,340",119,上櫃
00697B,元大美債7-10,35.33,+0.06,35.28,35.39,35.28,"160,000","5,654,480",66,上櫃
00719B,元大美債1-3,30.86,-0.06,30.87,30.89,30.83,"2,659,000","82,074,560",417,上櫃
00720B,元大投資級公司債,32.47,+0.17,32.50,32.53,32.45,"9,261,000","300,871,030",871,上櫃
00722B,群益投資級電信債,35.40,+0.25,35.38,35.44,35.34,"5,135,000","181,824,030",230,上櫃
00723B,群益投資級科技債,30.28,+0.19,30.24,30.29,30.24,"103,000","3,119,800",6,上櫃
00724B,群益投資級金融債,33.26,+0.15,33.25,33.30,33.22,"5,277,000","175,546,320",107,上櫃
00725B,國泰投資級公司債,34.55,+0.18,34.52,34.62,34.50,"4,733,000","163,571,290",532,上櫃
00726B,國泰新興投等債,32.39,+0.06,32.40,32.41,32.31,"208,000","6,733,760",54,上櫃
00727B,國泰優選非投等債,39.28,-0.06,39.28,39.34,39.23,"146,000","5,737,140",12,上櫃
00734B,台新JPM新興債,15.50,+0.02,15.52,15.52,15.50,"141,000","2,187,100",5,上櫃
00740B,富邦全球投等債,38.03,+0.20,37.93,38.09,37.93,"1,731,000","65,839,070",85,上櫃
00741B,富邦全球非投等債,37.20,+0.07,37.12,37.20,37.08,"112,000","4,164,200",14,上櫃
00746B,富邦A級公司債,35.01,+0.18,34.88,35.07,34.88,"756,000","26,488,410",27,上櫃
00749B,凱基新興債10+,31.13,+0.23,31.10,31.13,31.10,"103,000","3,206,300",3,上櫃
00750B,凱基科技債10+,32.56,+0.23,32.54,32.56,32.54,"101,000","3,288,540",3,上櫃
00751B,元大AAA至A公司債,31.19,+0.18,31.22,31.25,31.18,"6,329,000","197,554,030",788,上櫃
00754B,群益AAA-AA公司債,32.81,+0.23,32.82,32.82,32.81,"121,000","3,970,710",11,上櫃
00755B,群益投資級公用債,32.09,+0.19,32.11,32.15,32.09,"181,000","5,813,970",23,上櫃
00756B,群益投等新興公債,30.56,+0.18,30.59,30.59,30.50,"168,000","5,133,480",28,上櫃
00758B,復華能源債,50.75,+0.40,50.75,50.75,50.75,"100,000","5,075,000",2,上櫃
00759B,復華製藥債,53.55,+0.45,53.55,53.55,53.55,"125,000","6,693,750",9,上櫃
00760B,復華新興企業債,52.80,+0.25,52.65,52.85,52.65,"102,000","5,385,500",6,上櫃
00761B,國泰A級公司債,33.79,+0.20,33.79,33.85,33.74,"912,000","30,817,950",75,上櫃
00764B,群益25年美債,27.25,+0.12,27.24,27.30,27.24,"14,091,000","384,124,960",153,上櫃
00768B,復華20年美債,48.65,+0.23,48.69,48.80,48.65,"389,000","18,952,610",109,上櫃
00772B,中信高評級公司債,33.10,+0.17,33.10,33.15,33.07,"3,160,000","104,627,730",521,上櫃
00773B,中信優先金融債,35.30,+0.15,35.31,35.37,35.30,"1,102,000","38,934,710",80,上櫃
00777B,凱基AAA至A公司債,32.07,+0.22,32.06,32.07,32.06,"101,000","3,239,060",3,上櫃
00778B,凱基金融債20+,33.94,+0.20,33.98,33.98,33.94,"102,000","3,461,920",4,上櫃
00779B,凱基美債25+,27.60,+0.15,27.63,27.63,27.59,"1,738,000","47,970,340",31,上櫃
00780B,國泰A級金融債,36.69,+0.07,36.65,36.73,36.65,"242,000","8,883,330",12,上櫃
00781B,國泰A級科技債,28.28,+0.16,28.22,28.32,28.22,"113,000","3,195,770",14,上櫃
00782B,國泰A級公用債,29.98,+0.17,29.97,30.00,29.97,"139,000","4,167,210",15,上櫃
00785B,富邦金融投等債,34.48,+0.18,34.48,34.48,34.48,"50,000","1,724,000",2,上櫃
00786B,元大10年IG銀行債,32.45,+0.13,32.51,32.51,32.45,"49,000","1,590,610",12,上櫃
00787B,元大10年IG醫療債,32.13,+0.19,32.10,32.25,32.10,"11,000","353,430",5,上櫃
00788B,元大10年IG電能債,29.44,+0.16,29.47,29.50,29.43,"55,000","1,620,600",23,上櫃
00789B,復華公司債A3,47.53,+0.35,47.56,47.56,47.53,"900,000","42,801,000",6,上櫃
00791B,復華信用債1-5,56.35,-0.10,56.35,56.35,56.35,"100,000","5,635,000",2,上櫃
00792B,群益A級公司債,31.40,+0.22,31.35,31.42,31.35,"156,000","4,899,380",9,上櫃
00793B,群益AAA-A醫療債,30.43,+0.20,30.44,30.44,30.43,"200,000","6,087,000",8,上櫃
00795B,中信美國公債20年,26.15,+0.12,26.15,26.21,26.14,"7,331,000","191,874,100",538,上櫃
00799B,國泰A級醫療債,28.99,+0.14,29.01,29.02,28.99,"151,000","4,379,390",20,上櫃
00834B,第一金金融債10+,33.70,+0.13,33.70,33.70,33.70,"100,000","3,370,000",2,上櫃
00836B,永豐10年A公司債,28.51,+0.21,28.52,28.52,28.51,"2,000","57,030",2,上櫃
00840B,凱基IG精選15+,29.50,+0.16,29.48,29.50,29.48,"101,000","2,979,480",3,上櫃
00841B,凱基AAA-AA公司債,28.41,+0.17,28.41,28.41,28.41,"101,000","2,869,410",3,上櫃
00842B,台新美元銀行債,30.10,+0.14,30.10,30.15,30.06,"135,000","4,064,570",13,上櫃
00844B,新光15年IG金融債,31.05,+0.20,30.99,31.05,30.99,"94,000","2,918,160",8,上櫃
00845B,富邦新興投等債,32.82,+0.06,32.66,32.82,32.66,"103,000","3,380,180",6,上櫃
00846B,富邦歐洲銀行債,35.52,+0.10,35.25,35.52,35.25,"103,000","3,658,030",6,上櫃
00847B,中信美國市政債,25.09,+0.12,25.09,25.10,25.09,"502,000","12,599,180",12,上櫃
00848B,中信新興亞洲債,33.81,+0.08,33.81,33.82,33.81,"500,000","16,907,000",10,上櫃
00849B,中信EM主權債0-5,37.12,-0.06,37.05,37.17,37.05,"366,000","13,594,370",19,上櫃
00853B,統一美債10年Aa-A,27.36,+0.16,27.20,27.40,27.20,"1,101,000","30,153,800",41,上櫃
00856B,永豐1-3年美公債,37.55,-0.01,37.56,37.56,37.55,"3,000","112,660",3,上櫃
00857B,永豐20年美公債,22.72,+0.11,22.72,22.77,22.70,"2,133,000","48,470,110",163,上櫃
00858,永豐美國500大,35.67,+0.34,35.54,35.69,35.54,"467,000","16,645,170",163,上櫃
00859B,群益0-1年美債,41.03,-0.12,41.12,41.12,40.98,"3,916,000","160,699,620",163,上櫃
00860B,群益1-5Y投資級債,37.77,-0.06,37.78,37.78,37.77,"150,000","5,666,500",6,上櫃
00862B,中信投資級公司債,31.39,+0.19,31.40,31.43,31.39,"539,000","16,937,010",19,上櫃
00863B,中信全球電信債,31.79,+0.23,31.79,31.80,31.79,"500,000","15,897,000",10,上櫃
00864B,中信美國公債0-1,45.83,-0.13,45.95,45.96,45.81,"1,954,000","89,588,030",294,上櫃
00867B,新光A-BBB電信債,30.62,+0.26,30.62,30.62,30.62,"121,000","3,705,020",7,上櫃
00870B,元大15年EM主權債,27.79,+0.17,27.71,27.79,27.71,"2,000","55,500",2,上櫃
00877,復華中國5G,40.09,+0.42,40.25,40.78,39.87,"3,043,000","122,427,310",738,上櫃
00884B,中信低碳新興債,29.05,+0.06,29.00,29.09,29.00,"505,000","14,663,280",13,上櫃
00886,永豐美國科技,42.86,+0.67,42.19,42.86,42.19,"23,000","983,050",10,上櫃
00887,永豐中國科技50大,16.89,+0.40,16.63,17.15,16.63,"9,084,000","153,634,840","1,962",上櫃
00888,永豐台灣ESG,30.94,+1.11,30.54,31.07,30.54,"3,873,000","119,714,880",905,上櫃
00890B,凱基ESG BBB債15+,31.81,+0.24,31.76,31.81,31.75,"614,000","19,531,230",12,上櫃
00928,中信上櫃ESG 30,35.27,+1.31,35.01,35.53,35.01,"1,742,000","61,595,010",640,上櫃
00931B,統一美債20年,13.14,+0.07,13.14,13.16,13.13,"7,897,000","103,740,710",345,上櫃
00933B,國泰10Y+金融債,15.78,+0.08,15.75,15.80,15.75,"9,274,000","146,350,630",971,上櫃
00937B,群益ESG投等債20+,14.61,+0.09,14.58,14.63,14.58,"41,733,000","609,439,070","5,527",上櫃
00942B,台新美A公司債20+,14.08,+0.08,14.07,14.12,14.07,"1,770,000","24,947,920",118,上櫃
