代號,名稱,收盤,漲跌,開盤,最高,最低,成交股數,成交金額(元),成交筆數,市場
00948B,中信優息投資級債,9.31,+0.05,9.31,9.33,9.30,"5,935,000","55,288,410",362,上櫃
00950B,凱基A級公司債,13.89,+0.07,13.87,13.90,13.85,"4,969,000","68,991,550",385,上櫃
00955,中信日本商社,15.70,+0.05,15.80,15.83,15.68,"5,744,000","90,490,380","1,439",上櫃
00957B,兆豐US優選投等債,13.23,+0.06,13.18,13.25,13.18,"569,000","7,534,920",51,上櫃
00958B,永豐ESG銀行債15+,9.19,+0.04,9.17,9.20,9.17,"307,000","2,818,200",25,上櫃
00959B,大華投等美債15Y+,9.25,+0.05,9.25,9.26,9.23,"1,882,000","17,403,390",132,上櫃
00966B,統一ESG投等債15+,13.76,+0.08,13.70,13.78,13.70,"427,000","5,875,730",25,上櫃
00967B,元大優息美債,8.98,+0.04,8.96,9.00,8.94,"742,000","6,651,120",42,上櫃
00968B,元大優息投等債,9.19,+0.05,9.17,9.20,9.16,"2,632,000","24,175,650",143,上櫃
00969B,元大零息超長美債,7.99,+0.06,8.00,8.02,7.99,"595,000","4,763,600",21,上櫃
00970B,新光BBB投等債20+,9.23,+0.05,9.27,9.27,9.22,"661,000","6,100,400",61,上櫃
00980B,台新特選IG債10+,9.33,+0.05,9.31,9.34,9.31,"279,000","2,602,860",18,上櫃
00980D,主動聯博投等入息,20.19,+0.07,20.14,20.22,20.14,"904,000","18,255,870",108,上櫃
00980T,平衡凱基美國TOP,11.64,+0.10,11.59,11.66,11.58,"1,891,000","22,019,200",84,上櫃
00981B,第一金優選非投債,9.15,除息,9.13,9.15,9.13,"11,404,000","104,251,080","1,330",上櫃
00981D,主動中信非投等債,10.27,+0.01,10.26,10.27,10.25,"6,978,000","71,621,660",619,上櫃
00982B,FT投資級債20+,9.72,+0.05,9.69,9.72,9.69,"105,000","1,018,700",17,上櫃
00983B,大華優利美公債20,15.32,+0.09,15.30,15.34,15.30,"109,000","1,669,960",23,上櫃
00984B,大華優利美A債15,16.11,+0.09,16.10,16.13,16.07,"2,662,000","42,880,750",156,上櫃
00985D,主動貝萊德優投等,10.01,+0.04,10.00,10.03,10.00,"257,000","2,572,490",23,上櫃
00986B,FT金融債10+,9.83,+0.09,9.77,9.83,9.77,"17,000","166,250",5,上櫃
00986D,主動復華金融債息,14.66,+0.01,14.66,14.68,14.65,"437,000","6,409,720",44,上櫃
00987B,野村10+澳洲公債,15.86,+0.15,15.87,15.92,15.86,"1,655,000","26,300,320",60,上櫃
00988B,玉山嚴選非投債,19.72,+0.02,19.73,19.74,19.71,"1,375,000","27,112,730",132,上櫃
00989B,台新美國非投等債,9.98,+0.01,9.98,9.99,9.98,"374,000","3,734,520",34,上櫃
00998A,主動復華金融股息,15.89,+0.28,15.68,15.95,15.68,"2,186,000","34,788,140",322,上櫃
1240,茂生農經,58.10,0.00,58.00,58.10,57.70,"6,000","348,100",6,上櫃
1259,安心,56.30,-0.70,57.00,57.00,56.30,"12,000","682,300",7,上櫃
1264,德麥,273.00,0.00,272.50,273.50,271.00,"29,000","7,890,500",26,上櫃
1268,漢來美食,167.50,-0.50,166.00,174.50,166.00,"494,000","84,442,000",323,上櫃
1294,漢田生技,77.70,-0.10,77.70,77.80,77.70,"23,000","1,788,400",16,上櫃
1295,生合,51.00,-0.40,50.20,51.50,50.20,"55,000","2,818,800",36,上櫃
1336,台翰,13.05,+0.10,13.20,13.20,13.05,"59,000","772,450",30,上櫃
1565,精華,96.50,+2.30,95.10,97.20,95.10,"232,000","22,264,500",168,上櫃
1569,濱川,50.90,+0.70,51.00,51.30,50.20,"710,000","36,074,500",412,上櫃
1570,力肯,39.60,+1.65,38.95,41.60,38.65,"562,000","22,420,500",325,上櫃
1580,新麥,122.50,0.00,122.50,123.00,122.00,"22,000","2,697,000",20,上櫃
1584,精剛,19.65,0.00,19.70,19.70,19.50,"539,000","10,574,650",265,上櫃
1586,和勤,23.05,+0.20,22.85,23.05,22.60,"350,000","8,027,600",173,上櫃
1591,駿吉-KY,34.40,-3.80,34.40,34.40,34.40,"590,000","20,296,000",309,上櫃
1593,祺驊,31.40,+0.05,31.10,31.50,31.05,"29,000","908,500",13,上櫃
1595,川寶,97.50,+8.80,90.40,97.50,89.20,"1,234,000","116,018,600",857,上櫃
1599,宏佳騰,23.60,-0.05,24.00,24.00,23.40,"45,000","1,059,250",35,上櫃
1742,台蠟,15.00,-0.20,15.70,15.70,15.00,"26,000","391,250",21,上櫃
1777,生泰,71.40,+0.10,71.90,71.90,71.30,"11,000","785,400",11,上櫃
1781,合世,10.55,+0.05,10.45,10.65,10.45,"44,000","462,950",25,上櫃
1784,訊聯,71.30,+0.50,70.80,72.20,70.60,"133,000","9,508,900",105,上櫃
1785,光洋科,142.50,+4.50,142.00,145.50,139.00,"15,151,000","2,158,334,000","8,679",上櫃
1788,杏昌,135.50,0.00,135.50,135.50,135.50,"18,000","2,439,000",16,上櫃
1796,金穎生技,35.70,-0.30,36.20,36.20,35.50,"32,000","1,149,700",27,上櫃
1799,易威,34.35,-0.10,34.55,35.20,33.90,"185,000","6,407,050",114,上櫃
1813,寶利徠,12.15,0.00,12.15,12.20,12.15,"8,000","97,250",7,上櫃
1815,富喬,101.50,+2.00,102.00,105.00,101.50,"12,471,000","1,283,994,000","7,609",上櫃
2035,唐榮,28.45,+0.40,27.70,28.45,27.70,"14,000","390,350",12,上櫃
2061,風青,24.50,+2.20,24.50,24.50,23.65,"7,518,000","184,051,550","1,411",上櫃
2063,世鎧,25.10,0.00,25.30,25.30,25.00,"9,000","226,250",8,上櫃
2064,晉椿,13.25,+0.15,13.10,13.25,12.80,"45,000","584,450",27,上櫃
2065,世豐,34.50,+0.75,33.75,34.65,33.55,"126,000","4,316,250",66,上櫃
2066,世德,56.40,+1.60,55.60,56.80,55.20,"125,000","7,022,900",95,上櫃
2067,嘉鋼,6.87,+0.02,6.88,6.88,6.80,"10,000","68,500",6,上櫃
2070,精湛,64.50,+1.50,63.50,65.50,63.50,"433,000","28,005,900",297,上櫃
2073,雄順,26.00,+0.10,25.90,26.00,25.90,"4,000","103,800",4,上櫃
2221,大甲,43.30,+0.30,43.00,46.00,42.25,"649,000","28,433,700",480,上櫃
2230,泰茂,28.95,+0.25,28.70,29.40,28.70,"234,000","6,778,050",125,上櫃
2235,謚源,30.10,+0.70,30.10,30.15,30.10,"9,000","271,250",7,上櫃
2596,綠意,28.95,+0.20,29.00,29.00,28.70,"36,000","1,041,000",8,上櫃
2640,大車隊,165.00,+1.00,165.00,167.50,165.00,"24,000","3,966,000",24,上櫃
2641,正德,17.70,+0.15,17.70,17.80,17.50,"1,336,000","23,611,900",562,上櫃
2643,捷迅,66.90,+0.20,69.80,69.80,66.20,"66,000","4,426,300",55,上櫃
2718,全心投控,46.20,0.00,46.10,46.35,46.10,"59,000","2,726,750",40,上櫃
2719,燦星旅,25.85,+0.15,25.70,25.85,25.70,"4,000","102,950",4,上櫃
2724,藝舍-KY,13.90,-0.10,14.00,14.25,13.90,"30,000","418,350",5,上櫃
2726,雅茗-KY,10.00,+0.64,9.53,10.25,9.50,"151,000","1,498,580",72,上櫃
2729,瓦城,161.00,-1.00,161.00,163.00,161.00,"18,000","2,913,500",14,上櫃
2732,六角,65.00,+0.30,64.50,65.00,64.50,"17,000","1,102,300",14,上櫃
2734,易飛網,15.55,+0.25,15.40,15.55,15.40,"69,000","1,066,950",44,上櫃
2736,富野,12.00,+0.15,11.90,12.00,11.85,"56,000","667,800",30,上櫃
2740,華軒,36.45,-0.20,36.65,36.65,36.45,"4,000","146,000",4,上櫃
2743,山富,67.70,+0.60,68.40,68.40,67.20,"59,000","3,991,900",53,上櫃
2745,五福,101.50,+0.50,101.50,101.50,101.00,"97,000","9,819,000",78,上櫃
2751,王座,51.80,+0.10,51.80,52.00,51.60,"11,000","570,300",10,上櫃
2752,豆府,177.00,+3.00,174.50,177.00,174.00,"33,000","5,772,000",24,上櫃
2754,亞洲藏壽司,74.70,-2.30,77.20,80.80,73.70,"674,000","52,175,600",538,上櫃
2755,揚秦,132.50,0.00,134.50,134.50,132.50,"25,000","3,320,500",22,上櫃
2756,聯發國際,61.30,+0.30,61.80,61.80,60.00,"21,000","1,280,600",18,上櫃
2916,滿心,47.55,-0.25,47.95,47.95,47.50,"201,000","9,580,700",106,上櫃
2924,宏太-KY,15.85,-0.15,16.00,16.50,15.35,"4,000","63,700",4,上櫃
2926,誠品生活,36.45,-0.45,37.60,37.60,36.10,"13,000","472,800",12,上櫃
2937,集雅社,47.50,+1.05,46.50,49.70,46.50,"38,000","1,812,150",21,上櫃
2941,米斯特,31.00,-0.75,31.00,31.00,31.00,"1,000","31,000",1,上櫃
2947,振宇五金,77.90,-0.50,77.50,77.90,77.50,"3,000","233,300",2,上櫃
2948,寶陞,37.80,+2.50,36.50,37.85,36.50,"8,000","298,600",8,上櫃
2949,欣新網,60.50,+0.40,59.00,60.50,58.90,"9,000","538,700",9,上櫃
3064,泰偉,18.95,-0.55,17.75,18.95,17.75,"9,000","163,000",9,上櫃
3066,李洲,20.70,-0.05,21.35,21.40,20.25,"1,582,000","32,986,500",893,上櫃
3067,全域,17.50,+0.20,17.50,17.50,17.50,"1,000","17,500",1,上櫃
3071,協禧,29.70,+0.60,29.60,29.95,29.50,"318,000","9,450,350",218,上櫃
3073,天方能源,20.50,+0.20,20.70,20.95,20.40,"92,000","1,888,200",52,上櫃
3078,僑威,55.20,+3.00,52.50,55.40,52.50,"1,664,000","90,839,200","1,105",上櫃
3081,聯亞,"2,555.00",-25.00,"2,655.00","2,660.00","2,540.00","2,192,000","5,681,930,000","1,983",上櫃
3083,網龍,27.85,-0.15,28.60,28.60,27.85,"154,000","4,335,000",120,上櫃
3085,新零售,11.85,-0.15,11.80,11.85,11.75,"6,000","70,900",5,上櫃
3086,華義*,36.85,+0.25,37.70,37.85,36.60,"408,000","15,072,500",275,上櫃
3088,艾訊,137.50,+2.50,137.00,140.50,134.50,"2,926,000","401,084,500","2,160",上櫃
3093,港建*,48.45,+0.65,48.35,49.85,47.90,"867,000","42,149,450",618,上櫃
3095,及成,47.35,-0.40,49.40,49.45,46.50,"57,000","2,716,750",53,上櫃
3105,穩懋,483.00,+36.50,459.50,489.00,456.50,"23,972,000","11,417,911,000","17,613",上櫃
3114,好德,27.65,+0.55,27.65,27.75,27.20,"212,000","5,836,350",132,上櫃
3115,富榮綱,8.63,-0.05,8.84,8.84,8.41,"44,000","374,160",22,上櫃
3118,進階,33.50,+0.15,33.35,33.50,33.35,"19,000","634,750",11,上櫃
3122,笙泉,35.60,+0.30,36.00,36.85,35.20,"486,000","17,292,700",270,上櫃
3128,昇銳,23.75,+0.35,24.00,24.10,23.25,"573,000","13,630,050",356,上櫃
3131,弘塑,"2,700.00",+120.00,"2,655.00","2,725.00","2,605.00","463,000","1,240,200,000",425,上櫃
3141,晶宏,71.30,+6.40,66.90,71.30,65.70,"3,728,000","260,950,200","1,837",上櫃
3147,大綜,181.00,+2.50,179.50,181.50,179.00,"221,000","39,816,500",189,上櫃
3152,璟德,172.00,+8.00,168.50,173.50,167.50,"933,000","159,744,500",784,上櫃
3158,嘉實,86.60,+1.50,85.20,87.50,85.20,"18,000","1,556,800",14,上櫃
3162,精確,88.10,+3.00,86.40,89.30,85.50,"3,414,000","298,901,800","1,956",上櫃
3163,波若威,"1,045.00",+93.00,995.00,"1,045.00",974.00,"2,511,000","2,577,190,000","1,851",上櫃
3169,亞信,118.00,+4.50,114.00,118.00,113.50,"1,285,000","149,853,000",917,上櫃
3171,炎洲流通,66.90,+0.10,66.80,67.40,66.60,"15,000","1,003,500",11,上櫃
3176,基亞,39.70,+2.45,36.20,40.95,36.20,"1,738,000","67,868,350","1,164",上櫃
3178,公準,67.40,+1.80,66.30,68.50,66.30,"84,000","5,672,600",65,上櫃
3188,鑫龍騰,24.35,0.00,24.50,24.50,24.20,"150,000","3,643,550",107,上櫃
3191,雲嘉南,15.50,+0.70,15.00,15.95,14.90,"85,000","1,285,000",40,上櫃
3205,佰研,55.00,+1.10,54.50,55.20,54.30,"140,000","7,671,300",100,上櫃
3206,志豐,37.80,0.00,37.90,38.55,37.70,"74,000","2,807,050",68,上櫃
3207,耀勝,57.60,-0.50,59.10,59.10,57.50,"161,000","9,363,200",139,上櫃
3211,順達,353.00,+6.00,359.00,367.00,352.00,"4,361,000","1,561,048,000","3,334",上櫃
3213,茂訊,117.50,+2.50,117.00,118.50,115.50,"961,000","112,744,500",597,上櫃
3217,優群,199.00,+10.50,194.00,206.00,190.50,"5,435,000","1,083,053,500","3,586",上櫃
3218,大學光,130.00,+1.50,130.00,131.00,129.00,"188,000","24,461,000",147,上櫃
3219,倚強科,84.50,+2.40,82.80,85.60,82.60,"550,000","46,389,500",426,上櫃
3221,台嘉碩,51.30,+3.40,50.90,52.10,50.00,"19,727,000","1,010,306,800","11,110",上櫃
3224,三顧,41.05,-0.15,40.50,41.40,40.25,"132,000","5,390,250",98,上櫃
3226,龍鋒,40.00,+0.25,40.00,40.00,40.00,"1,000","40,000",1,上櫃
3227,原相,229.00,+5.50,227.50,230.50,225.50,"2,324,000","532,125,000","1,607",上櫃
3228,金麗科,210.00,+12.00,212.00,215.00,207.00,"1,577,000","332,614,000","1,207",上櫃
3230,錦明,32.45,+0.20,32.85,33.10,32.35,"245,000","8,000,200",166,上櫃
3232,昱捷,22.30,+1.75,20.50,22.60,20.50,"180,000","3,914,350",108,上櫃
3234,光環,98.50,+1.50,98.00,101.00,97.50,"1,337,000","133,113,800",954,上櫃
3236,千如,48.25,+4.35,45.80,48.25,45.80,"18,231,000","870,151,450","7,630",上櫃
3252,海灣,18.20,+0.40,18.30,18.30,18.15,"32,000","584,000",18,上櫃
3259,鑫創,15.90,-0.25,16.00,16.20,15.80,"75,000","1,196,300",46,上櫃
3260,威剛,413.00,+7.50,425.00,426.50,413.00,"13,226,000","5,540,869,000","9,251",上櫃
3264,欣銓,219.00,+12.50,212.50,221.00,212.00,"6,281,000","1,372,866,500","4,790",上櫃
3265,台星科,177.50,+7.00,175.00,183.50,175.00,"1,531,000","274,720,500","1,133",上櫃
3268,海德威,17.50,+0.35,16.90,17.70,16.90,"217,000","3,731,200",126,上櫃
3272,東碩,17.40,+0.05,17.35,17.50,17.00,"77,000","1,328,100",57,上櫃
3276,宇環,14.15,+0.15,13.90,14.40,13.90,"195,000","2,769,850",133,上櫃
3284,太普高,16.90,0.00,16.30,17.25,16.30,"458,000","7,695,000",264,上櫃
3285,微端,28.55,+0.05,28.50,28.55,28.25,"9,000","256,350",6,上櫃
3287,廣寰科,31.45,+0.25,31.50,31.90,31.40,"158,000","5,001,050",113,上櫃
3288,點晶,14.95,-0.05,15.00,15.00,14.95,"8,000","119,750",8,上櫃
3289,宜特,163.50,+3.00,163.50,169.50,163.00,"1,967,000","327,620,500","1,399",上櫃
3290,東浦,47.25,+0.70,47.10,47.35,46.80,"353,000","16,626,900",198,上櫃
3293,鈊象,740.00,+12.00,728.00,741.00,728.00,"1,315,000","967,757,000","1,175",上櫃
3294,英濟,40.65,+0.15,40.30,41.95,39.35,"8,007,000","325,240,050","5,181",上櫃
3297,杭特,30.85,+0.55,30.30,31.00,30.30,"84,000","2,579,950",65,上櫃
3303,岱稜,48.90,+1.00,48.15,49.20,48.15,"272,000","13,276,100",182,上櫃
3306,鼎天,45.70,+0.85,45.05,45.90,45.05,"131,000","5,972,300",116,上櫃
3310,佳穎,70.10,+1.20,69.60,70.10,68.30,"63,000","4,366,700",50,上櫃
3313,斐成,11.85,-0.05,11.90,12.15,11.60,"244,000","2,894,400",119,上櫃
3317,尼克森,75.70,+3.20,73.20,75.70,73.00,"4,910,000","364,122,900","3,258",上櫃
3322,建舜電,12.80,+0.50,12.60,12.80,12.40,"573,000","7,231,850",250,上櫃
3323,加百裕,35.40,+0.95,35.20,35.65,34.75,"970,000","34,278,000",601,上櫃
3324,雙鴻,"1,000.00",+61.00,964.00,"1,015.00",957.00,"2,494,000","2,463,594,000","2,210",上櫃
3325,旭品,11.95,+0.15,11.85,12.10,11.80,"263,000","3,156,200",128,上櫃
3332,幸康,64.40,+0.80,64.80,64.80,63.60,"7,000","449,700",7,上櫃
3339,泰谷,46.60,-0.90,48.25,49.40,46.60,"2,602,000","124,783,350","1,660",上櫃
3349,寶德,19.00,0.00,19.00,19.55,18.50,"267,000","5,060,550",164,上櫃
3354,律勝,32.15,+0.40,32.25,33.00,32.05,"693,000","22,505,350",474,上櫃
3357,臺慶科,254.00,+23.00,245.00,254.00,242.50,"4,727,000","1,182,280,500","2,516",上櫃
3360,尚立,14.65,+0.30,14.45,14.75,14.40,"390,000","5,692,900",220,上櫃
3362,先進光,121.00,+7.50,116.50,122.50,116.00,"2,820,000","337,606,500","2,004",上櫃
3363,上詮,818.00,+41.00,812.00,825.00,798.00,"2,027,000","1,649,961,000","1,789",上櫃
3372,典範,19.85,+0.80,19.10,20.00,19.10,"888,000","17,630,350",421,上櫃
3373,熱映,17.00,-0.05,17.05,17.15,16.95,"90,000","1,536,900",32,上櫃
3374,精材,244.50,+13.50,241.00,253.50,239.00,"11,696,000","2,873,283,500","8,171",上櫃
3379,彬台,41.50,+0.95,41.60,42.80,41.50,"1,052,000","44,174,350",788,上櫃
3388,崇越電,96.90,+4.10,94.70,99.90,94.30,"1,081,000","105,159,000",754,上櫃
3390,旭軟,28.35,+1.35,27.80,28.70,27.60,"2,885,000","81,422,250","1,449",上櫃
3402,漢科,137.00,+5.50,133.50,138.00,133.00,"534,000","72,627,000",409,上櫃
3426,台興,47.70,0.00,47.70,47.70,47.70,"15,000","715,500",15,上櫃
3430,奇鈦科,174.00,+15.50,160.50,174.00,160.50,"3,715,000","639,219,000","2,315",上櫃
3434,哲固,28.50,+0.25,28.35,28.70,28.35,"36,000","1,028,650",25,上櫃
3438,類比科,67.80,+0.50,68.10,69.20,67.30,"497,000","33,911,500",381,上櫃
3441,聯一光,52.90,+4.75,48.40,52.90,47.90,"10,888,000","555,311,200","6,736",上櫃
3444,利機,95.10,+5.60,92.10,95.70,92.10,"550,000","52,003,800",403,上櫃
3455,由田,310.00,+26.00,293.00,310.00,290.00,"990,000","299,970,500",698,上櫃
3465,進泰電子,26.90,+0.15,27.10,27.15,26.65,"59,000","1,582,450",33,上櫃
3466,德晉,35.10,+0.50,34.75,35.30,34.70,"292,000","10,227,650",190,上櫃
3467,台灣精材,62.00,+1.10,62.00,63.30,61.50,"135,000","8,410,900",108,上櫃
3479,安勤,117.50,+7.00,114.00,118.00,112.50,"5,542,000","640,191,000","3,614",上櫃
3483,力致,92.00,+5.40,87.90,92.30,87.50,"1,071,000","96,672,100",761,上櫃
3484,崧騰,44.15,+0.05,44.40,44.50,43.85,"223,000","9,847,000",121,上櫃
3485,敘豐,241.00,-1.50,246.50,246.50,223.00,"586,000","136,399,500",505,上櫃
3489,森寶,22.00,+0.05,21.95,22.30,21.90,"99,000","2,184,400",53,上櫃
