日期,代號,名稱,市場,開盤價,最高價,最低價,收盤價,昨收價,漲跌幅%,成交張數,成交金額,均價,振幅%,可當沖
20260521,0050,元大台灣50,上市,94.8,96.05,94.7,95.85,92.5,3.62,62215,5942503747,95.51,1.46,True
20260521,0051,元大中型100,上市,128.8,132.7,128.8,132.55,128.20000000000002,3.39,58,7792107,132.16,3.04,True
20260521,0052,富邦科技,上市,55.8,56.6,55.75,56.4,54.449999999999996,3.58,21841,1228793937,56.26,1.56,True
20260521,0053,元大電子,上市,220.25,222.25,220.25,222.25,212.25,4.71,24,5416997,220.54,0.94,True
20260521,0055,元大MSCI金融,上市,33.97,34.15,33.89,33.99,33.97,0.06,192,6525476,33.97,0.77,True
20260521,0056,元大高股息,上市,44.74,45.52,44.74,45.44,44.04,3.18,50081,2265991289,45.25,1.77,True
20260521,0057,富邦摩台,上市,282.55,285.1,282.55,285.1,274.65000000000003,3.8,34,9812192,283.63,0.93,True
20260521,0061,元大寶滬深,上市,24.79,25.27,24.79,24.99,24.79,0.81,307,7714310,25.11,1.94,True
20260521,1101,台泥,上市,24.15,24.35,23.95,24.2,24.15,0.21,20020,483300094,24.14,1.66,True
20260521,1102,亞泥,上市,34.75,34.95,34.5,34.95,34.5,1.3,6909,240452285,34.8,1.3,True
20260521,1103,嘉泥,上市,13.1,13.1,13.0,13.05,13.0,0.38,206,2702458,13.06,0.77,True
20260521,1104,環泥,上市,27.5,27.75,27.4,27.5,27.4,0.36,558,15354223,27.51,1.28,True
20260521,1108,幸福,上市,13.75,13.8,13.7,13.75,13.8,-0.36,95,1319514,13.76,0.72,True
20260521,1109,信大,上市,14.6,14.65,14.55,14.65,14.6,0.34,101,1485982,14.6,0.68,True
20260521,1110,東泥,上市,14.0,14.2,13.9,14.2,13.899999999999999,2.16,299,4192104,14.01,2.16,True
20260521,1201,味全,上市,12.1,12.15,12.05,12.1,12.1,0.0,263,3184997,12.1,0.83,True
20260521,1203,味王,上市,42.85,43.7,42.6,42.65,41.65,2.4,60,2601180,42.88,2.64,True
20260521,1210,大成,上市,53.1,53.5,52.9,52.9,53.0,-0.19,1506,80048214,53.13,1.13,True
20260521,1213,大飲,上市,8.7,8.7,8.31,8.49,8.43,0.71,4,33826,8.45,4.63,True
20260521,1215,卜蜂,上市,142.0,146.0,142.0,144.0,142.0,1.41,2172,314862382,144.95,2.82,True
20260521,1216,統一,上市,73.5,73.8,72.6,73.1,73.39999999999999,-0.41,13692,999281610,72.98,1.63,True
20260521,1217,愛之味,上市,9.45,9.54,9.39,9.41,9.42,-0.11,890,8411655,9.44,1.59,True
20260521,1218,泰山,上市,18.5,18.6,18.5,18.6,18.450000000000003,0.81,346,6438314,18.56,0.54,True
20260521,1219,福壽,上市,12.5,12.6,12.5,12.5,12.5,0.0,421,5281107,12.53,0.8,True
20260521,1220,台榮,上市,11.9,11.9,11.8,11.8,11.8,0.0,99,1179427,11.85,0.85,True
20260521,1225,福懋油,上市,28.9,29.55,28.8,29.2,28.8,1.39,120,3504492,29.12,2.6,True
20260521,1227,佳格,上市,28.55,28.75,28.4,28.6,28.3,1.06,951,27222065,28.62,1.24,True
20260521,1229,聯華,上市,38.35,39.0,38.35,38.85,38.300000000000004,1.44,1873,72706202,38.8,1.7,True
20260521,1231,聯華食,上市,86.2,86.8,86.0,86.8,86.6,0.23,245,21134892,86.25,0.92,True
20260521,1232,大統益,上市,149.0,149.0,148.0,148.0,149.0,-0.67,63,9416192,148.37,0.67,True
20260521,1233,天仁,上市,28.8,28.8,28.65,28.8,28.55,0.88,17,491841,28.73,0.53,True
20260521,1234,黑松,上市,33.75,34.0,33.55,33.9,33.75,0.44,55,1884659,33.81,1.33,True
20260521,1235,興泰,上市,37.0,37.3,36.4,37.3,37.0,0.81,23,862153,37.05,2.43,True
20260521,1236,宏亞,上市,23.9,23.9,23.55,23.7,23.7,0.0,50,1198903,23.66,1.48,True
20260521,1256,鮮活果汁-KY,上市,184.5,190.0,181.0,188.0,183.0,2.73,123,23073533,186.55,4.92,True
20260521,1301,台塑,上市,45.75,46.3,45.35,45.75,45.4,0.77,14628,668350142,45.69,2.09,True
20260521,1303,南亞,上市,83.1,88.3,83.1,87.3,80.8,8.04,71604,6229195962,86.99,6.44,True
20260521,1304,台聚,上市,12.1,12.3,12.05,12.25,12.15,0.82,4599,56107686,12.2,2.06,True
20260521,1305,華夏,上市,12.4,12.55,12.35,12.5,12.45,0.4,1854,23085732,12.45,1.61,True
20260521,1307,三芳,上市,31.35,31.75,31.35,31.65,31.349999999999998,0.96,440,13939179,31.64,1.28,True
20260521,1308,亞聚,上市,13.1,13.3,13.0,13.25,13.1,1.15,1730,22836976,13.2,2.29,True
20260521,1309,台達化,上市,15.35,16.0,15.1,15.65,15.55,0.64,3478,54236520,15.59,5.79,True
20260521,1310,台苯,上市,8.01,8.1,8.01,8.07,7.98,1.13,1799,14491969,8.05,1.13,True
20260521,1312,國喬,上市,10.5,10.7,10.5,10.6,10.4,1.92,3632,38540790,10.61,1.92,True
20260521,1313,聯成,上市,10.5,10.75,10.45,10.65,10.5,1.43,1674,17788169,10.62,2.86,True
20260521,1314,中石化,上市,7.02,7.2,6.98,7.2,7.0200000000000005,2.56,16645,118266799,7.1,3.13,True
20260521,1315,達新,上市,60.6,61.2,60.6,61.0,60.4,0.99,29,1812069,60.79,0.99,True
20260521,1316,上曜,上市,10.7,11.1,10.7,10.75,10.6,1.42,2280,24754119,10.86,3.77,True
20260521,1319,東陽,上市,81.0,81.8,80.1,80.1,80.6,-0.62,2697,217939217,80.8,2.11,True
20260521,1321,大洋,上市,29.55,29.7,29.45,29.6,29.6,0.0,96,2865282,29.58,0.84,True
20260521,1323,永裕,上市,19.75,19.95,19.35,19.9,19.9,0.0,74,1478175,19.79,3.02,True
20260521,1324,地球,上市,10.2,10.25,10.15,10.2,10.2,0.0,35,364461,10.2,0.98,True
20260521,1325,恆大,上市,26.85,27.1,26.8,26.9,26.95,-0.19,245,6598098,26.91,1.11,True
20260521,1326,台化,上市,44.8,45.7,44.8,45.45,44.550000000000004,2.02,10223,462840726,45.27,2.02,True
20260521,1337,再生-KY,上市,4.75,4.83,4.74,4.77,4.67,2.14,451,2157451,4.77,1.93,True
20260521,1338,廣華-KY,上市,15.65,16.2,15.15,15.95,15.899999999999999,0.31,599,9359739,15.63,6.6,True
20260521,1339,昭輝,上市,40.7,40.9,40.5,40.8,40.449999999999996,0.87,96,3933370,40.71,0.99,True
20260521,1340,勝悅-KY,上市,5.43,5.57,5.41,5.5,5.43,1.29,229,1250437,5.45,2.95,True
20260521,1341,富林-KY,上市,61.1,63.0,61.0,63.0,61.0,3.28,13,828895,61.97,3.28,True
20260521,1342,八貫,上市,92.3,94.6,92.3,93.2,92.0,1.3,211,19728153,93.33,2.5,True
20260521,1402,遠東新,上市,26.8,27.2,26.65,27.2,26.75,1.68,25120,677152335,26.96,2.06,True
20260521,1409,新纖,上市,16.7,17.15,16.7,16.95,16.65,1.8,6484,109998839,16.96,2.7,True
