日期,代號,名稱,市場,開盤價,最高價,最低價,收盤價,昨收價,漲跌幅%,成交張數,成交金額,均價,振幅%,可當沖
20260520,4746,台耀,上市,51.8,52.1,51.3,51.6,51.6,0.0,425,22032618,51.74,1.55,True
20260520,4755,三福化,上市,136.5,136.5,133.0,135.0,134.5,0.37,289,39066511,134.88,2.6,True
20260520,4763,材料*-KY,上市,41.6,41.9,41.15,41.15,41.55,-0.96,4125,170702396,41.38,1.81,True
20260520,4764,雙鍵,上市,315.0,334.5,315.0,330.0,304.5,8.37,824,272509220,330.36,6.4,True
20260520,4766,南寶,上市,360.0,363.0,354.5,356.0,360.0,-1.11,587,210469494,358.02,2.36,True
20260520,4770,上品,上市,227.0,230.5,225.5,226.0,227.0,-0.44,269,61268372,227.53,2.2,True
20260520,4771,望隼,上市,198.5,201.0,193.0,194.0,198.5,-2.27,381,74903987,196.3,4.03,True
20260520,4807,日成-KY,上市,23.3,24.35,22.7,22.7,22.599999999999998,0.44,236,5471524,23.15,7.3,True
20260520,4904,遠傳,上市,98.1,99.4,97.0,97.1,98.0,-0.92,7124,696821715,97.81,2.45,True
20260520,4906,正文,上市,37.9,38.3,37.1,37.6,38.0,-1.05,9719,365680930,37.62,3.16,True
20260520,4912,聯德控股-KY,上市,101.0,104.5,101.0,103.0,102.0,0.98,820,84292589,102.69,3.43,True
20260520,4915,致伸,上市,72.0,72.5,71.4,71.6,72.0,-0.56,3710,266568472,71.84,1.53,True
20260520,4916,事欣科,上市,83.1,89.9,80.2,89.9,81.80000000000001,9.9,36726,3165385377,86.19,11.86,True
20260520,4919,新唐,上市,152.5,165.0,150.0,165.0,150.0,10.0,27510,4418377191,160.61,10.0,True
20260520,4927,泰鼎-KY,上市,49.8,49.8,47.7,47.7,49.900000000000006,-4.41,6787,328939348,48.46,4.21,True
20260520,4930,燦星網,上市,16.55,16.6,16.5,16.55,16.650000000000002,-0.6,85,1421475,16.57,0.6,True
20260520,4934,太極,上市,17.0,17.0,16.35,16.4,17.0,-3.53,905,14988412,16.56,3.82,True
20260520,4935,茂林-KY,上市,36.2,36.4,36.0,36.1,36.2,-0.28,73,2649306,36.14,1.1,True
20260520,4938,和碩,上市,76.9,77.7,76.6,77.2,76.9,0.39,10080,777202522,77.1,1.43,True
20260520,4942,嘉彰,上市,36.9,37.1,36.9,37.05,36.8,0.68,94,3475166,36.96,0.54,True
20260520,4943,康控-KY,上市,9.23,9.23,8.69,9.0,9.0,0.0,25,228801,8.92,6.0,True
20260520,4949,有成精密,上市,87.1,89.5,86.6,87.3,86.39999999999999,1.04,1349,118544851,87.87,3.36,True
20260520,4952,凌通,上市,47.9,51.1,47.5,49.7,48.0,3.54,705,35248533,49.95,7.5,True
20260520,4956,光鋐,上市,42.7,43.8,42.0,43.0,42.6,0.94,2567,109950494,42.83,4.23,True
20260520,4958,臻鼎-KY,上市,412.0,448.0,402.5,439.0,408.5,7.47,62230,26658290347,428.38,11.14,True
20260520,4960,誠美材,上市,34.55,34.8,32.25,33.15,34.55,-4.05,12913,428464861,33.18,7.38,True
20260520,4961,天鈺,上市,167.0,172.5,165.5,171.0,167.0,2.4,1070,181684697,169.72,4.19,True
20260520,4967,十銓,上市,259.5,264.0,252.0,261.0,257.5,1.36,4273,1109820922,259.7,4.66,True
20260520,4968,立積,上市,110.0,114.0,109.5,113.0,110.0,2.73,688,77202636,112.14,4.09,True
20260520,4976,佳凌,上市,30.8,31.65,30.5,30.9,30.799999999999997,0.32,863,26895980,31.14,3.73,True
20260520,4977,眾達-KY,上市,204.5,209.0,201.0,201.0,203.0,-0.99,3955,811308734,205.1,3.94,True
20260520,4989,榮科,上市,94.3,96.5,87.4,92.8,88.7,4.62,13963,1297640080,92.93,10.26,True
20260520,4994,傳奇,上市,91.9,91.9,89.6,90.0,91.2,-1.32,8,725504,90.46,2.52,True
20260520,4999,鑫禾,上市,19.45,19.7,19.45,19.65,19.9,-1.26,123,2409704,19.5,1.26,True
20260520,5007,三星,上市,56.2,56.2,55.3,55.3,56.199999999999996,-1.6,101,5671674,55.72,1.6,True
20260520,5203,訊連,上市,64.2,65.0,63.8,64.5,64.4,0.16,228,14722215,64.4,1.86,True
20260520,5215,科嘉-KY,上市,44.85,44.95,43.6,44.6,45.0,-0.89,221,9756658,44.15,3.0,True
20260520,5222,全訊,上市,121.5,125.0,121.5,122.5,122.0,0.41,311,38454726,123.28,2.87,True
20260520,5225,東科-KY,上市,70.0,70.8,69.9,70.3,70.5,-0.28,118,8362805,70.32,1.28,True
20260520,5234,達興材料,上市,400.5,414.5,397.0,402.0,397.5,1.13,554,224149433,404.21,4.4,True
20260520,5243,乙盛-KY,上市,115.0,115.0,103.5,104.5,114.5,-8.73,16940,1825864832,107.78,10.04,True
20260520,5244,弘凱,上市,37.4,38.05,37.4,37.4,37.55,-0.4,225,8496762,37.61,1.73,True
20260520,5258,虹堡,上市,58.0,59.4,57.0,58.0,60.0,-3.33,2884,167793496,58.16,4.0,True
20260520,5269,祥碩,上市,1375.0,1415.0,1350.0,1385.0,1380.0,0.36,1876,2584249665,1377.17,4.71,True
20260520,5283,禾聯碩,上市,51.8,52.2,51.8,51.8,51.9,-0.19,64,3375519,51.94,0.77,True
20260520,5284,jpp-KY,上市,370.5,374.0,362.0,363.0,368.0,-1.36,1205,443913467,368.18,3.26,True
20260520,5285,界霖,上市,75.5,80.6,74.9,80.4,76.0,5.79,4809,377651067,78.51,7.5,True
20260520,5288,豐祥-KY,上市,146.0,147.0,145.0,146.5,146.0,0.34,83,12153823,145.93,1.37,True
20260520,5292,華懋,上市,219.0,225.5,219.0,222.0,219.0,1.37,110,24523049,221.91,2.97,True
20260520,5306,桂盟,上市,82.7,82.8,81.5,82.0,82.7,-0.85,171,14045215,82.04,1.57,True
20260520,5388,中磊,上市,80.1,82.6,78.8,81.8,79.5,2.89,7213,587246948,81.41,4.78,True
20260520,5434,崇越,上市,401.0,403.0,396.0,397.0,394.0,0.76,665,265499964,399.19,1.78,True
20260520,5469,瀚宇博,上市,80.0,80.0,78.3,79.0,79.4,-0.5,1918,151407045,78.94,2.14,True
20260520,5471,松翰,上市,48.0,52.3,47.7,52.3,47.599999999999994,9.87,6397,331431122,51.81,9.66,True
20260520,5484,慧友,上市,40.6,40.6,39.25,39.45,40.1,-1.62,398,15846377,39.72,3.37,True
20260520,5515,建國,上市,40.1,40.3,38.8,39.65,39.8,-0.38,1336,52745998,39.45,3.77,True
20260520,5519,隆大,上市,32.45,32.7,32.3,32.6,32.45,0.46,203,6616665,32.53,1.23,True
20260520,5521,工信,上市,10.3,10.65,10.2,10.55,10.25,2.93,5103,53494247,10.48,4.39,True
20260520,5522,遠雄,上市,70.8,71.3,70.3,70.8,70.8,0.0,571,40490176,70.81,1.41,True
20260520,5525,順天,上市,22.55,22.55,22.15,22.4,22.549999999999997,-0.67,85,1901414,22.27,1.77,True
20260520,5531,鄉林,上市,7.87,7.87,7.7,7.75,7.87,-1.52,1049,8105491,7.73,2.16,True
20260520,5533,皇鼎,上市,13.85,13.85,13.75,13.85,13.85,0.0,79,1090865,13.8,0.72,True
20260520,5534,長虹,上市,76.1,76.3,75.0,75.6,75.5,0.13,741,55868124,75.39,1.72,True
20260520,5538,東明-KY,上市,35.6,36.85,34.4,34.4,35.6,-3.37,70,2502772,35.61,6.88,True
